,id,study,screening,subgroups,outcomes
0,1,ageberg_2009,Included,"patellar, hamstring",Tegner
1,2,aglietti_2004,Included,"patellar, hamstring","Lachman, Pivot shift, Instrumental laxity"
2,3,ahldén_2009,Included,"patellar, hamstring","Tegner, Lysholm, Lachman, Instrumental laxity"
3,4,akelman_2016,Included,"patellar, hamstring",Instrumental laxity
4,5,anderson_2001,Included,"patellar, hamstring","IKDC, Instrumental laxity, Pivot shift"
5,6,anz_2023,Included,"patellar, hamstring",Graft rupture
6,7,aune_2001,Included,"patellar, hamstring",Instrumental laxity
7,8,barenius_2010,Excluded,,Duplicate report of the same study.
8,9,barenius_2014,Included,"patellar, hamstring","IKDC, Lysholm, Lachman, Pivot shift, Instrumental laxity"
9,10,barié_2020,Included,"patellar, quadriceps","IKDC, Lysholm, Tegner, Instrumental laxity, Graft rupture"
10,11,beynnon_2002,Included,"patellar, hamstring","IKDC, Tegner, Instrumental laxity, Pivot shift, Lachman"
11,12,bi_2018,Included,"hamstring, peroneus","IKDC, Instrumental laxity, Pivot shift, Graft rupture"
12,13,björnsson_2016,Included,"patellar, hamstring","Instrumental laxity, IKDC, Tegner, Lysholm"
13,14,bottoni_2015,Included,"hamstring, tibialis","IKDC, Tegner"
14,15,brand_2000,Excluded,,Did not report any of the specified outcomes.
15,16,breker_2025,Included,"patellar, hamstring",Instrumental laxity
16,17,buescu_2017,Excluded,,Did not report any of the specified outcomes.
17,18,butt_2024,Included,"hamstring, peroneus","Lysholm, IKDC, Lachman, Pivot shift"
18,19,calvert_2025,Included,"hamstring, quadriceps","IKDC, Instrumental laxity"
19,20,carter_edinger_1999,Excluded,,Did not report any of the specified outcomes.
20,21,covey_2018,Excluded,,Did not report any of the specified outcomes.
21,22,cruz_2022,Included,"hamstring, tibialis",Graft rupture
22,23,ejerhed_2003,Included,"patellar, hamstring","Tegner, Lysholm, Instrumental laxity, Lachman"
23,24,eriksson_2001,Excluded,,Duplicate report of the same study.
24,25,eriksson_2006,Included,"patellar, hamstring","Instrumental laxity, Pivot shift"
25,26,feller_webster_2003,Included,"patellar, hamstring","IKDC, Instrumental laxity, Pivot shift, Lachman"
26,27,garcia-linage_2025,Excluded,,Non-English.
27,28,gerber_2007,Included,"patellar, hamstring",Instrumental laxity
28,29,ghalayini_2010,Excluded,,Did not compare at least two of the specified subgroups.
29,30,gifstad_2013,Included,"patellar, hamstring","Tegner, Lysholm, Instrumental laxity, Lachman"
30,31,gobbi_francisco_2006,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity"
31,32,guglielmetti_2021,Included,"patellar, hamstring","IKDC, Lysholm, Pivot shift, Lachman"
32,33,harilainen_2006,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift"
33,34,heijne_werner_2010,Included,"patellar, hamstring","Tegner, Instrumental laxity, Pivot shift"
34,35,holm_2010,Included,"patellar, hamstring","Instrumental laxity, Tegner"
35,36,horstmann_2022,Included,"hamstring, quadriceps","IKDC, Lysholm, Instrumental laxity"
36,37,ibrahim_2005,Included,"patellar, hamstring","Lachman, Lysholm, Instrumental laxity, Pivot shift"
37,38,iliopoulos_2017,Included,"patellar, hamstring","IKDC, Lysholm, Pivot shift, Lachman"
38,39,irrgang_2021,Excluded,,Did not compare at least two of the specified subgroups.
39,40,jansson_1999,Excluded,,Duplicate report of the same study.
40,41,jansson_2003,Included,"patellar, hamstring","Lachman, Pivot shift, Instrumental laxity, Lysholm, Tegner"
