,id,study,subgroup,ni,0,1+,2+,3+,y,xi,yi
0,11,"Beynnon et al., 2002",BPTB,22,10.0,10.0,2,0,2,2,0.111
1,11,"Beynnon et al., 2002",HT,22,3.0,6.0,8,5,13,13,0.6
2,13,"Björnsson et al., 2016",BPTB,61,30.0,24.0,6,1,7,7,0.122
3,13,"Björnsson et al., 2016",HT,86,19.0,46.0,12,9,21,21,0.249
4,23,"Ejerhed et al., 2003",BPTB,32,18.0,12.0,2,0,2,2,0.077
5,23,"Ejerhed et al., 2003",HT,33,16.0,17.0,0,0,0,0,0.015
6,26,"Feller & Webster, 2003",BPTB,42,36.0,6.0,0,0,0,0,0.012
7,26,"Feller & Webster, 2003",HT,47,28.0,19.0,0,0,0,0,0.011
8,30,"Gifstad et al., 2013",BPTB,45,29.0,15.0,1,0,1,1,0.033
9,30,"Gifstad et al., 2013",HT,32,19.0,12.0,1,0,1,1,0.046
10,32,"Guglielmetti et al., 2021",BPTB,31,22.0,7.0,1,1,2,2,0.079
11,32,"Guglielmetti et al., 2021",HT,31,22.0,6.0,2,1,3,3,0.111
12,33,"Harilainen et al., 2006",BPTB,37,29.0,8.0,0,0,0,0,0.013
13,33,"Harilainen et al., 2006",HT,37,31.0,5.0,1,0,1,1,0.04
14,37,"Ibrahim et al., 2005",BPTB,40,35.0,5.0,0,0,0,0,0.012
15,37,"Ibrahim et al., 2005",HT,46,39.0,7.0,0,0,0,0,0.011
16,41,"Jansson et al., 2003",BPTB,43,35.0,8.0,0,0,0,0,0.011
17,41,"Jansson et al., 2003",HT,46,38.0,8.0,0,0,0,0,0.011
18,45,"Konrads et al., 2016",BPTB,24,16.0,8.0,0,0,0,0,0.02
19,45,"Konrads et al., 2016",HT,23,12.0,9.0,1,1,2,2,0.106
20,51,"Li et al., 2015",HT,32,26.0,4.0,2,0,2,2,0.077
21,51,"Li et al., 2015",TA,32,19.0,9.0,3,1,4,4,0.138
22,52,"Lidén et al., 2007",BPTB,30,8.0,21.0,1,0,1,1,0.049
23,52,"Lidén et al., 2007",HT,32,7.0,23.0,1,1,2,2,0.077
24,55,"Lui et al., 2012",BPTB,14,10.0,4.0,0,0,0,0,0.034
25,55,"Lui et al., 2012",HT,38,32.0,6.0,0,0,0,0,0.013
26,58,"Lund et al., 2014",BPTB,18,14.0,3.0,1,0,1,1,0.081
27,58,"Lund et al., 2014",QT,21,16.0,4.0,1,0,1,1,0.07
28,70,"Noh et al., 2011",HT,33,27.0,5.0,1,0,1,1,0.045
29,70,"Noh et al., 2011",AT,32,26.0,3.0,3,0,3,3,0.108
30,76,"Pinczewski et al., 2007",BPTB,53,43.0,10.0,0,0,0,0,0.009
31,76,"Pinczewski et al., 2007",HT,58,46.0,11.0,1,0,1,1,0.026
32,77,"Popovic et al., 2024",BPTB,38,,,0,0,0,0,0.013
33,77,"Popovic et al., 2024",HT,33,,,5,0,5,5,0.164
34,82,"Sajovic et al., 2018",BPTB,24,19.0,5.0,0,0,0,0,0.02
35,82,"Sajovic et al., 2018",HT,24,19.0,5.0,0,0,0,0,0.02
36,97,"Yadav et al., 2025",HT,36,15.0,12.0,8,1,9,9,0.26
37,97,"Yadav et al., 2025",QT,33,24.0,6.0,3,0,3,3,0.104
38,98,"Yoo et al., 2017",HT,68,33.0,31.0,3,1,4,4,0.066
39,98,"Yoo et al., 2017",TA,64,30.0,28.0,4,2,6,6,0.101
