,study,treat1,treat2,n1,n2,m1,m2,sd1,sd2,smd,se
0,"Barié et al., 2020",BPTB,QT,43,43,91.0,92.0,7.3,11.5,0.104,0.216
1,"Bi et al., 2018",HT,PLT,62,62,90.4,89.3,7.1,8.4,0.141,0.18
2,"Björnsson et al., 2016",BPTB,HT,61,86,67.3,74.0,20.8,18.8,0.341,0.169
3,"Bottoni et al., 2015",HT,TA,44,36,79.5,81.1,24.7,23.1,0.067,0.225
4,"Butt et al., 2024",HT,PLT,30,30,89.7,89.9,5.7,9.8,0.025,0.258
5,"Calvert et al., 2025",HT,QT,92,89,92.0,89.0,8.0,10.0,0.332,0.15
6,"Guglielmetti et al., 2021",BPTB,HT,31,31,88.75,91.0,9.27,9.07,0.245,0.255
7,"Horstmann et al., 2022",HT,QT,26,23,83.7,89.3,12.7,12.2,0.449,0.29
8,"Iliopoulos et al., 2017",BPTB,HT,45,45,83.2,82.78,2.8,2.8,0.15,0.211
9,"Komzak et al., 2022",BPTB,QT,36,36,74.2,78.3,10.2,10.5,0.396,0.238
10,"Li et al., 2015",HT,TA,32,32,87.5,83.8,3.2,6.9,0.688,0.258
11,"Lind et al., 2020",HT,QT,49,47,78.0,82.0,18.0,14.0,0.247,0.205
12,"Lucidi et al., 2025",BPTB,HT,19,20,78.4,81.6,13.7,11.9,0.25,0.322
13,"Lui et al., 2012",BPTB,HT,14,17,71.9,73.1,15.2,12.3,0.088,0.361
14,"Lund et al., 2014",BPTB,QT,18,21,75.0,76.0,13.0,16.0,0.068,0.321
15,"Malik et al., 2026",HT,PLT,25,25,78.9,82.6,7.4,6.3,0.538,0.288
16,"Matsumoto et al., 2006",BPTB,HT,37,35,84.3,86.8,11.0,8.3,0.256,0.237
17,"Moraiti et al., 2010",BPTB,HT,6,6,92.0,90.0,7.0,10.0,0.232,0.58
18,"Papalia et al., 2015",BPTB,HT,20,20,86.9,90.97,11.7,5.1,0.451,0.32
19,"Sinding et al., 2020",HT,QT,43,42,76.0,76.0,15.0,17.0,0.0,0.217
20,"Smith et al., 2020",BPTB,HT,32,32,89.4,94.8,9.2,6.4,0.681,0.257
21,"Sonnery-cottet et al., 2026",BPTB,HT,296,297,89.4,91.0,10.9,10.3,0.151,0.082
22,"Tang et al., 2023",HT,QT,16,17,90.13,87.12,6.99,6.61,0.443,0.353
23,"Vilchez-cavazos et al., 2020",BPTB,QT,14,14,90.0,88.17,1.76,2.49,0.849,0.396
24,"Wipfler et al., 2011",BPTB,HT,29,25,86.72,92.95,2.27,1.99,2.904,0.394
25,"Zaffagnini et al., 2011",BPTB,HT,40,39,82.0,88.0,20.0,9.0,0.385,0.227
